,fips,valid_start,valid_end,none,d0,d1,d2,d4,diff
0,1001,2010-04-06,2010-05-03,363.27000000000004,36.73,0.0,0.0,0.0,27 days 00:00:00.000000000
1,1001,2010-07-06,2013-02-25,1478.8800000000006,4453.359999999999,4871.930000000002,2177.23,0.0,965 days 00:00:00.000000000
2,1001,2013-06-04,2013-07-15,155.56,444.44,0.0,0.0,0.0,41 days 00:00:00.000000000
3,1001,2013-11-05,2013-12-09,483.05,16.95,0.0,0.0,0.0,34 days 00:00:00.000000000
4,1001,2014-03-11,2014-04-07,89.32,310.68,0.0,0.0,0.0,27 days 00:00:00.000000000
5,1001,2014-08-12,2015-01-05,209.86999999999992,1488.15,401.98,0.0,0.0,146 days 00:00:00.000000000
6,1001,2015-01-20,2015-04-20,2.5199999999999814,1297.4800000000002,0.0,0.0,0.0,90 days 00:00:00.000000000
7,1001,2015-05-12,2015-06-01,26.989999999999995,273.01,0.0,0.0,0.0,20 days 00:00:00.000000000
8,1001,2015-08-04,2015-08-17,182.8,17.2,0.0,0.0,0.0,13 days 00:00:00.000000000
9,1001,2015-09-15,2015-11-09,1.4699999999999989,798.53,0.0,0.0,0.0,55 days 00:00:00.000000000
10,1001,2016-06-07,2016-06-20,0.0,200.0,0.0,0.0,0.0,13 days 00:00:00.000000000
11,1001,2016-07-05,2017-03-13,598.68,1372.4099999999996,694.7599999999999,506.75,0.0,251 days 00:00:00.000000000
12,1001,2017-04-18,2017-05-22,35.52999999999999,431.89,32.58,0.0,0.0,34 days 00:00:00.000000000
13,1001,2017-11-28,2018-01-01,179.53000000000003,320.46999999999997,0.0,0.0,0.0,34 days 00:00:00.000000000
14,1003,2010-04-20,2010-05-03,161.45,38.550000000000004,0.0,0.0,0.0,13 days 00:00:00.000000000
15,1003,2010-07-06,2011-09-26,732.1999999999999,1231.4299999999996,1279.9499999999998,2022.6000000000001,326.44,447 days 00:00:00.000000000
16,1003,2011-10-18,2012-06-11,44.449999999999974,708.1699999999998,1930.879999999999,693.7,0.0,237 days 00:00:00.000000000
17,1003,2012-06-26,2012-08-06,593.41,6.59,0.0,0.0,0.0,41 days 00:00:00.000000000
18,1003,2012-11-06,2013-02-25,210.77,1100.79,288.44,0.0,0.0,111 days 00:00:00.000000000
19,1003,2013-03-19,2013-05-06,213.33,486.67,0.0,0.0,0.0,48 days 00:00:00.000000000
20,1003,2013-05-21,2013-07-08,498.1,183.2,18.7,0.0,0.0,48 days 00:00:00.000000000
21,1003,2013-10-29,2013-11-25,237.36,162.64,0.0,0.0,0.0,27 days 00:00:00.000000000
22,1003,2013-12-17,2013-12-30,57.93,142.07,0.0,0.0,0.0,13 days 00:00:00.000000000
23,1003,2014-01-28,2014-03-03,64.47,435.53,0.0,0.0,0.0,34 days 00:00:00.000000000
24,1003,2014-03-11,2014-04-07,309.48,90.52,0.0,0.0,0.0,27 days 00:00:00.000000000
25,1003,2014-08-26,2015-05-18,369.94,1989.9800000000002,1171.9599999999998,268.15000000000003,0.0,265 days 00:00:00.000000000
26,1003,2015-07-07,2015-11-23,384.39,959.4399999999999,605.39,50.78,0.0,139 days 00:00:00.000000000
27,1003,2016-08-02,2016-08-15,121.94,78.06,0.0,0.0,0.0,13 days 00:00:00.000000000
28,1003,2016-09-13,2017-01-02,190.45,448.3,569.4399999999999,344.74999999999994,0.0,111 days 00:00:00.000000000
29,1003,2017-03-21,2017-04-03,0.0,200.0,0.0,0.0,0.0,13 days 00:00:00.000000000
30,1003,2017-04-18,2017-05-08,32.58000000000001,267.42,0.0,0.0,0.0,20 days 00:00:00.000000000
31,1003,2017-11-28,2018-01-01,104.39,395.61,0.0,0.0,0.0,34 days 00:00:00.000000000
32,1005,2010-04-06,2010-05-03,0.0,400.0,0.0,0.0,0.0,27 days 00:00:00.000000000
33,1005,2010-07-06,2013-03-25,79.47999999999998,1370.84,1958.629999999998,4962.090000000002,1695.309999999999,993 days 00:00:00.000000000
34,1005,2013-05-28,2013-07-08,352.25,247.75000000000003,0.0,0.0,0.0,41 days 00:00:00.000000000
35,1005,2013-11-12,2013-12-30,574.31,125.69000000000001,0.0,0.0,0.0,48 days 00:00:00.000000000
36,1005,2014-07-08,2014-12-29,436.77000000000004,1557.4299999999994,505.8,0.0,0.0,174 days 00:00:00.000000000
37,1005,2015-01-20,2015-05-25,59.00000000000006,1491.42,249.6,0.0,0.0,125 days 00:00:00.000000000
38,1005,2015-07-21,2015-09-28,373.33,626.6700000000002,0.0,0.0,0.0,69 days 00:00:00.000000000
