,Unnamed: 0,fips,valid_start,valid_end,none,d0,d1,d2,d3,d4,diff,total,year,state,state_fips,county,county_fips,population,ps_groundwater,ps_surfacewater,ps_total,d_selfsupplied,d_totaluse,ir_sprinkler,ir_microirrig,ir_surface,ir_total,crop_ir_sprinkler,crop_ir_microirrig,crop_ir_surface,crop_ir_total,therm_power,therm_power_oncethrough,therm_power_recirc
0,0,1001,2010-04-06,2010-05-03,90.8175,9.182499999999996,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000,400.00000000000006,2010.0,AL,1,Autauga County,1,54.571000000000005,,,48.222,6.349,3.54,1.9,0.03,0.02,1.95,1.8,0.03,0.02,1.85,6738.26,0.0,6738.26
1,1,1001,2010-07-06,2013-02-25,10.716537270343874,32.270771406915074,35.303891744770645,15.777051850799785,5.931747727170618,0.0,965 days 00:00:00.000000000,13799.98,2010.0,AL,1,Autauga County,1,54.571000000000005,,,48.222,6.349,3.54,1.9,0.03,0.02,1.95,1.8,0.03,0.02,1.85,6738.26,0.0,6738.26
2,14,1003,2010-04-20,2010-05-03,80.725,19.275,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000,200.0,2010.0,AL,1,Baldwin County,3,182.265,,,153.463,28.802,13.66,12.44,0.43,0.17,13.04,10.3,0.43,0.17,10.9,0.0,0.0,0.0
3,15,1003,2010-07-06,2011-09-26,11.440678628181072,19.241183943049727,19.99931249677733,31.60327314034285,12.614902882357265,5.1006489092917615,447 days 00:00:00.000000000,6399.969999999998,2010.0,AL,1,Baldwin County,3,182.265,,,153.463,28.802,13.66,12.44,0.43,0.17,13.04,10.3,0.43,0.17,10.9,0.0,0.0,0.0
4,32,1005,2010-04-06,2010-05-03,0.0,100.0,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000,400.0,2010.0,AL,1,Barbour County,5,27.456999999999997,,,25.555,1.902,2.05,3.23,0.07,0.0,3.3,2.93,0.07,0.0,3.0,0.0,0.0,0.0
5,33,1005,2010-07-06,2013-03-25,0.5597179156916086,9.65379601845351,13.793159300592029,34.94427116600624,29.11026118995689,11.938794409299707,993 days 00:00:00.000000000,14200.009999999995,2010.0,AL,1,Barbour County,5,27.456999999999997,,,25.555,1.902,2.05,3.23,0.07,0.0,3.3,2.93,0.07,0.0,3.0,0.0,0.0,0.0
6,43,1007,2010-07-13,2010-07-26,86.47,13.53,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000,200.0,2010.0,AL,1,Bibb County,7,22.915,,,21.279,1.636,1.84,0.4,0.0,0.0,0.4,0.3,0.0,0.0,0.3,0.0,0.0,0.0
7,44,1007,2010-08-17,2010-12-06,24.625,39.165,36.21,0.0,0.0,0.0,111 days 00:00:00.000000000,1600.0,2010.0,AL,1,Bibb County,7,22.915,,,21.279,1.636,1.84,0.4,0.0,0.0,0.4,0.3,0.0,0.0,0.3,0.0,0.0,0.0
8,45,1007,2010-12-28,2011-03-28,37.477692307692315,54.81923076923076,7.703076923076923,0.0,0.0,0.0,90 days 00:00:00.000000000,1300.0000000000002,2010.0,AL,1,Bibb County,7,22.915,,,21.279,1.636,1.84,0.4,0.0,0.0,0.4,0.3,0.0,0.0,0.3,0.0,0.0,0.0
9,58,1009,2010-04-20,2010-04-26,99.72,0.28,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000,100.0,2010.0,AL,1,Blount County,9,57.321999999999996,,,44.464,12.857999999999999,3.87,0.96,0.01,0.0,0.97,0.55,0.01,0.0,0.56,0.0,0.0,0.0
10,59,1009,2010-09-07,2011-03-28,0.2920729941102638,39.98193078525221,59.249093090939176,0.4769031296983408,0.0,0.0,202 days 00:00:00.000000000,2899.96,2010.0,AL,1,Blount County,9,57.321999999999996,,,44.464,12.857999999999999,3.87,0.96,0.01,0.0,0.97,0.55,0.01,0.0,0.56,0.0,0.0,0.0
11,74,1011,2010-04-06,2010-05-03,0.0,100.0,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000,400.0,2010.0,AL,1,Bullock County,11,10.914000000000001,,,10.176,0.738,1.2,0.24,0.0,0.0,0.24,0.18,0.0,0.0,0.18,0.0,0.0,0.0
